id,gender,masterCategory,subCategory,baseColour,season,year,usage,productDisplayName,image_path
7120,Unisex,Accessories,Bags,Green,Winter,2015.0,Casual,Wildcraft Unisex Green Printed Backpack,7120.jpg
15653,Unisex,Accessories,Bags,Navy Blue,Fall,2011.0,Casual,Belkin Unisex Simple Backpack Navy Blue Backpacks,15653.jpg
7056,Unisex,Accessories,Bags,Black,Summer,2011.0,Sports,Nike Unisex Trng Max Black Backpack,7056.jpg
4583,Unisex,Accessories,Bags,Grey,Winter,2015.0,Casual,Wildcraft Unisex Grey Backpack,4583.jpg
39511,Unisex,Accessories,Bags,Orange,Summer,2012.0,Casual,Peter England Unisex Orange Backpack,39511.jpg
7123,Unisex,Accessories,Bags,Orange,Winter,2015.0,Casual,Wildcraft Unisex Orange Printed Backpack,7123.jpg
4585,Unisex,Accessories,Bags,Black,Winter,2015.0,Casual,Wildcraft Unisex Black Solid Backpack,4585.jpg
35205,Unisex,Accessories,Bags,Blue,Spring,2013.0,Casual,Wildcraft Unisex Blue & Black Backpack,35205.jpg
38130,Unisex,Accessories,Bags,Black,Summer,2015.0,Casual,Wildcraft Unisex Black Printed Laptop Backpack,38130.jpg
51318,Unisex,Accessories,Bags,Blue,Summer,2015.0,Casual,Wildcraft Unisex Blue Cauvery Backpack,51318.jpg
7108,Unisex,Accessories,Bags,Olive,Winter,2015.0,Casual,Wildcraft Unisex Olive Green Backpack,7108.jpg
24833,Unisex,Accessories,Bags,Red,Winter,2015.0,Casual,Wildcraft Unisex Red Backpack,24833.jpg
7109,Unisex,Accessories,Bags,Grey,Winter,2015.0,Casual,Wildcraft Unisex Halo Grey Black Backpack,7109.jpg
19921,Unisex,Accessories,Bags,Yellow,Summer,2015.0,Casual,Wildcraft Unisex Gear for Life Yellow Backpack,19921.jpg
39874,Unisex,Accessories,Bags,Black,Summer,2012.0,Casual,ADIDAS Unisex Black Load Spring Backpack,39874.jpg
15919,Unisex,Accessories,Bags,Blue,Fall,2011.0,Casual,ADIDAS Unisex AL Blue Backpack,15919.jpg
34461,Unisex,Accessories,Bags,Black,Summer,2010.0,Casual,ADIDAS Unisex Black BTS Backpack,34461.jpg
37674,Unisex,Accessories,Bags,Black,Summer,2012.0,Casual,American Tourister Unisex Black Backpack,37674.jpg
32862,Unisex,Accessories,Bags,Grey,Summer,2012.0,Casual,Wildcraft Unisex Grey & Pink Backpack,32862.jpg
37695,Unisex,Accessories,Bags,Brown,Summer,2012.0,Casual,American Tourister Unisex Brown Backpack,37695.jpg
2363,Unisex,Accessories,Bags,Black,Summer,2011.0,Sports,ADIDAS Black Backpack,2363.jpg
9439,Unisex,Accessories,Bags,Blue,Spring,2013.0,Casual,Nike Unisex Brasilia 5 Me Blue Backpacks,9439.jpg
5266,Unisex,Accessories,Bags,Grey,Winter,2015.0,Casual,Wildcraft Unisex Schoolbag Grey Backpack,5266.jpg
35187,Unisex,Accessories,Bags,Blue,Spring,2013.0,Casual,Wildcraft Unisex Blue & Grey Backpack,35187.jpg
53366,Unisex,Accessories,Bags,Blue,Summer,2012.0,Casual,Puma Unisex Blue Backpack,53366.jpg
18007,Unisex,Accessories,Bags,Black,Fall,2011.0,Casual,U.S. Polo Assn. Unisex Black Backpack,18007.jpg
5218,Unisex,Accessories,Bags,Red,Winter,2015.0,Casual,Wildcraft Unisex Red Backpack,5218.jpg
30190,Unisex,Accessories,Bags,Red,Summer,2012.0,Casual,Nike Unisex Nylon Red Backpack,30190.jpg
7110,Unisex,Accessories,Bags,Navy Blue,Winter,2015.0,Casual,Wildcraft Unisex Navy Backpack,7110.jpg
34463,Unisex,Accessories,Bags,Black,Summer,2012.0,Casual,ADIDAS Unisex Black Backpack,34463.jpg
37677,Unisex,Accessories,Bags,Brown,Summer,2012.0,Casual,American Tourister Unisex Brown Backpack,37677.jpg
7103,Unisex,Accessories,Bags,Grey,Winter,2015.0,Casual,Wildcraft Unisex Grey Backpack,7103.jpg
39488,Unisex,Accessories,Bags,Grey,Spring,2015.0,Casual,Wildcraft Unisex Grey & Black Backpack,39488.jpg
30195,Unisex,Accessories,Bags,Black,Fall,2012.0,Casual,Nike Unisex Black Backpack,30195.jpg
4593,Unisex,Accessories,Bags,Olive,Winter,2015.0,Casual,Wildcraft Unisex Olive & Black Backpack,4593.jpg
9440,Unisex,Accessories,Bags,Black,Fall,2011.0,Casual,Nike Unisex Ultimatum Max Black Backpacks,9440.jpg
30199,Unisex,Accessories,Bags,Black,Spring,2013.0,Casual,Nike Unisex Casual Black Backpack,30199.jpg
4684,Unisex,Accessories,Bags,Black,Summer,2011.0,Sports,ADIDAS 3S Black Unisex Backpack,4684.jpg
